L1-dcache-miss-per,cache-miss-per,pred
1.26,49.67,0.0
1.88,42.466,0.0
1.14,44.571,0.0
1.13,32.751,0.0
1.11,43.302,0.0
0.19,41.163,0.0
0.23,36.426,0.0
0.18,36.936,0.0
0.19,45.978,0.0
0.24,40.9,0.0
0.71,18.278,0.0
0.65,20.68,0.0
0.57,20.836,0.0
0.56,20.328,0.0
0.66,16.805,0.0
0.58,26.684,0.0
0.61,16.303,0.0
0.79,18.598,0.0
0.59,17.378,0.0
0.65,21.527,0.0
1.16,27.421,0.0
1.19,29.754,0.0
1.12,26.842,0.0
1.15,23.636,0.0
1.2,17.055,0.0
1.05,16.065,0.0
1.05,33.608,0.0
0.92,33.494,0.0
0.96,35.596,0.0
0.98,30.945,0.0
1.27,32.147,0.0
1.38,34.442,0.0
1.41,20.279,0.0
1.42,19.219,0.0
1.85,35.455,0.0
3.76,38.284,0.0
3.61,13.279,0.0
4.06,25.3,0.0
3.41,35.28,0.0
3.71,25.65,0.0
0.38,47.266,0.0
0.27,50.743,0.0
0.29,54.051,0.0
0.36,49.11,0.0
0.33,50.461,0.0
1.03,35.082,0.0
1.16,28.804,0.0
0.93,26.671,0.0
0.91,33.408,0.0
0.92,20.454,0.0
0.84,21.803,0.0
1.12,25.452,0.0
0.93,16.444,0.0
0.8,34.772,0.0
0.94,25.24,0.0
1.73,33.833,0.0
2.39,33.056,0.0
2.24,21.315,0.0
1.92,25.183,0.0
1.74,41.149,0.0
0.3,51.104,0.0
0.31,50.192,0.0
0.31,60.735,0.0
0.32,48.843,0.0
0.3,59.299,0.0
2.24,24.234,0.0
1.12,15.238,0.0
1.16,14.827,0.0
1.1,35.998,0.0
1.72,13.782,0.0
0.53,34.753,0.0
0.41,32.444,0.0
0.37,15.377,0.0
0.45,25.24,0.0
0.39,22.462,0.0
1.48,18.813,0.0
1.63,33.36,0.0
2.25,34.89,0.0
2.35,24.477,0.0
2.23,40.617,0.0
20.18,86.327,1.0
19.81,89.972,1.0
20.49,86.543,1.0
19.68,87.425,1.0
19.91,84.134,1.0
20.33,82.275,1.0
18.24,90.017,1.0
20.26,81.557,1.0
20.06,86.602,1.0
20.08,83.826,1.0
19.52,85.564,1.0
20.99,86.114,1.0
20.58,87.222,1.0
19.4,87.22,1.0
20.15,88.297,1.0
19.59,85.29,1.0
19.14,87.928,1.0
18.1,90.021,1.0
20.36,86.865,1.0
20.73,86.117,1.0
19.72,85.04,1.0
20.67,87.077,1.0
21.06,84.908,1.0
19.07,86.698,1.0
20.82,82.159,1.0
20.04,85.358,1.0
20.22,87.626,1.0
20.87,87.381,1.0
19.7,86.347,1.0
20.09,82.324,1.0
19.44,87.84,1.0
19.32,87.391,1.0
21.13,85.227,1.0
20.06,81.77,1.0
19.58,87.861,1.0
20.66,86.203,1.0
19.17,84.739,1.0
19.72,85.222,1.0
18.53,87.526,1.0
20.29,87.655,1.0
